Drug ID,Drug Name,Discription
DB01797,"(2R)-2-(aminomethyl)-2,4-dihydroxy-5-oxo-3-(2-oxoethyl)-2,5-dihydro-1H-imidazol-3-ium",;;;;
DB01798,Ethyl Dihydrogen Diphosphate,;;;;
DB01799,4-Hydroxy-3-Methyl Butyl Diphosphate,;;;;
DB01800,4-Nitrocatechol sulfate,;;;;
DB01802,"(4R)-7-Aza-7,8-dihydrolimonene",;;;;
DB01803,2-(Trimethylammonium)Ethyl Thiol,;;;;
DB01804,"2-Ammoniobut-3-Enoate, 2-Amino-3-Butenoate",;;;;
DB01805,Monoisopropylphosphorylserine,;;;;
DB01806,10-decarboxymethylaclacinomycin A,;;;;
DB01807,"N-[(3Z)-5-Tert-butyl-2-phenyl-1,2-dihydro-3H-pyrazol-3-ylidene]-N'-(4-chlorophenyl)urea",;;;;
DB01808,Thiarsahydroxy-Cysteine,;;;;
DB01809,"1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",;;;;
DB01810,"[1-(1-Methyl-4,5-Dioxo-Pent-2-Enylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester",;;;;
DB01811,"3h-Indole-5,6-Diol",;;;;
DB01812,"Adenosine 3',5'-diphosphate",;;;;
DB01813,Pyridoxyl-Glutamic Acid-5'-Monophosphate,;;;;
DB01814,2-Tridecanoyloxy-Pentadecanoic Acid,;;;;
DB01815,Nz-(Dicarboxymethyl)Lysine,;;;;
DB01816,Castanospermine,;;;;
DB01817,Threonine-Aspartic Ester,;;;;
DB01818,O3-Sulfonylgalactose,;;;;
DB01819,Phosphoenolpyruvate,;;;;
DB01820,2-{[4-(2-Acetylamino-2-pentylcarbamoyl-ethyl)-naphthalen-1-YL]-oxalyl-amino}-benzoic acid,;;;;
DB01821,"L-N(omega)-Nitroarginine-2,4-L-diaminobutyric amide",;;;;
DB01822,"(4R,5R)-1,2-dithiane-4,5-diol",;;;;
DB01823,Beta-D-Glucopyranose Spirohydantoin,;;;;
DB01824,"(3S)-Tetrahydro-3-furanyl {(2S,3S)-4-[(2S,4R)-4-{(1S,2R)-2-[(S)-amino(hydroxy)methoxy]-2,3-dihydro-1H-inden-1-yl}-2-benzyl-3-oxo-2-pyrrolidinyl]-3-hydroxy-1-phenyl-2-butanyl}carbamate",;;;;
DB01825,2-amino-8-methyl-4(1H)-quinazolinone,;;;;
DB01826,N-Butyl Isocyanide,;;;;
DB01827,"2,3,5,6-Tetrafluoro-4-Methoxy-Benzamide",;;;;
DB01828,Methylamine,;;;;
DB01829,Desulfo-coenzyme A,;;;;
DB01830,AP-22408,;;;;
DB01831,Tryptophanyl-5'amp,;;;;
DB01832,4-[Hydroxy-[Methyl-Phosphinoyl]]-3-Oxo-Butanoic Acid,;;;;
DB01833,Canavanine,;;;;
DB01834,"(9R,10R)-9-(S-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene",;;;;
DB01835,4R-Fluoro-N6-ethanimidoyl-L-lysine,;;;;
DB01836,"[4-(6-Chloro-Naphthalene-2-Sulfonyl)-Piperazin-1-Yl]-(3,4,5,6-Tetrahydro-2h-[1,4']Bipyridinyl-4-Yl)-Methanone",;;;;
DB01837,O-acetyl-L-serine,;;;;
DB01838,"6,4'-Dihydroxy-3-Methyl-3',5'-Dibromoflavone",;;;;
DB01839,Propylene glycol,"A clear, colorless, viscous organic solvent and diluent used in pharmaceutical preparations.;;;;"
DB01840,2-Deoxy-D-Glucitol 6-(E)-Vinylhomophosphonate,;;;;
DB01841,"4,6-Dideoxyglucose",;;;;
DB01842,3'-Phosphate-Adenosine-5'-Diphosphate,;;;;
DB01843,"(5S,7R,8S,9S,10R)-3-Amino-8,9,10-trihydroxy-7-(hydroxymethyl)-6-oxa-1,3-diazaspiro[4.5]decane-2,4-dione",;;;;
DB01844,"N,N-dimethylformamide",;;;;
DB01846,Oxidized coenzyme A,;;;;
DB01847,N-Carbamyl-D-Valine,;;;;
DB01849,Dihydrouracil,;;;;
DB01850,"(2S,3S,8S,9S)-3-amino-9-methoxy-2,6,8-trimethyl-10-phenyldeca-4,6-dienoic acid",;;;;
DB01851,Tetrabutylammonium Ion,;;;;
DB01852,Kaempherol,;;;;
DB01853,Bacteriochlorophyll A,A specific bacteriochlorophyll that is similar in structure to CHLOROPHYLL A.;;;;
DB01854,5-Bromonicotinamide,;;;;
DB01855,5-(Hydroxy-Methyl-Amino)-3-Methyl-Pyrrolidine-2-Carboxylic Acid,;;;;
DB01856,Pimelic Acid,A group of compounds that are derivatives of heptanedioic acid with the general formula R-C7H11O4. [PubChem];;;;
DB01857,Phosphoaspartate,;;;;
DB01858,[1-(4-Fluorobenzyl)Cyclobutyl]Methyl (1s)-1-[Oxo(1h-Pyrazol-5-Ylamino)Acetyl]Pentylcarbamate,;;;;
DB01859,4-CDP-2-C-methyl-D-erythritol 2-phosphate,;;;;
DB01860,Cordycepin Triphosphate,;;;;
DB01861,Uridine diphosphate glucose,"A key intermediate in carbohydrate metabolism. Serves as a precursor of glycogen, can be metabolized into UDPgalactose and UDPglucuronic acid which can then be incorporated into polysaccharides as galactose and glucuronic acid. Also serves as a precursor of sucrose lipopolysaccharides, and glycosphingolipids.;;;;"
DB01862,Isopropyl beta-D-thiogalactopyranoside,A non-metabolizable galactose analog that induces expression of the LAC operon.;;;;
DB01863,"Inositol 1,3,4,5-Tetrakisphosphate",;;;;
DB01864,5'-Guanosine-Diphosphate-Monothiophosphate,#NAME?
DB01865,3-(6-Aminopyridin-3-Yl)-N-Methyl-N-[(1-Methyl-1h-Indol-2-Yl)Methyl]Acrylamide,;;;;
DB01866,RU79256,;;;;
DB01868,Glycyl-L-a-Aminopimelyl-E-(D-2-Aminoethyl)Phosphonate,;;;;
DB01870,"1,4-dithio-alpha-D-glucopyranose",;;;;
DB01871,[1-(1-Benzyl-3-Hydroxy-2-Oxo-Propylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester,;;;;
DB01872,2-deoxy-2-acetamido-beta-D-galactose-4-sulfate,;;;;
DB01873,Epothilone D,;;;;
DB01874,Tropinone,;;;;
DB01875,8-azaxanthine,;;;;
DB01876,Bis(5-Amidino-2-Benzimidazolyl)Methanone,;;;;
DB01877,"N-Hydroxy 1n(4-Methoxyphenyl)Sulfonyl-4-(Z,E-N-Methoxyimino)Pyrrolidine-2r-Carboxamide",;;;;
DB01878,Benzophenone,Benzophenone is the organic compound. Substituted benzophenones such as oxybenzone and dioxybenzone are used in sunscreen.;;;;
DB01879,(S)-2-{Methyl-[2-(Naphthalene-2-Sulfonylamino)-5-(Naphthalene-2-Sulfonyloxy)-Benzoyl]-Amino}-Succinicacid,;;;;
DB01880,"3,4-Dihydroxycinnamic Acid",;;;;
DB01881,"2-Methylpentane-1,2,4-Triol",;;;;
DB01882,"(2s)-2-Amino-4-(Methylsulfanyl)-1-Pyridin-2-Ylbutane-1,1-Diol",;;;;
DB01883,N-(Sulfanylacetyl)Tyrosylprolylmethioninamide,;;;;
DB01884,2-Amino-3-Methyl-1-Pyrrolidin-1-Yl-Butan-1-One,;;;;
DB01885,D-Galctopyranosyl-1-On,;;;;
DB01887,"N,N-[2,5-O-Dibenzyl-glucaryl]-DI-[1-amino-indan-2-OL]",;;;;
DB01888,"4-[5-(Trans-4-Aminocyclohexylamino)-3-Isopropylpyrazolo[1,5-a]Pyrimidin-7-Ylamino]-N,N-Dimethylbenzenesulfonamide",;;;;
DB01889,"16,17-Androstene-3-Ol",;;;;
DB01890,"N,N-Bis(3-(D-gluconamido)propyl)deoxycholamide",;;;;
DB01891,Tl-3-093,;;;;
DB01892,Hyperforin,"Hyperforin is a phytochemical generated by the plants of the Hypericum family. One of the most important members of this family, due to its medical properties, is _Hypericum perforatum_, also known as St John's wort.;;;;"
DB01893,N6-Benzyl Adenosine-5'-Diphosphate,;;;;
DB01895,Aspartyl-Adenosine-5'-Monophosphate,;;;;
DB01896,M-Aminophenylboronic Acid,;;;;
DB01897,2-(2f-Benzothiazolyl)-5-Styryl-3-(4f-Phthalhydrazidyl)Tetrazolium Chloride,;;;;
DB01898,"(2S,3S)-2-azanyl-3-methyl-pentanedioic acid",;;;;
DB01899,Nd1-Phosphonohistidine,;;;;
DB01901,Sucrosofate,;;;;
DB01902,"1-Ethyl-Pyrrolidine-2,5-Dione",;;;;
DB01903,5-Bromo-2'-deoxyuridine 5'-(dihydrogen phosphate),;;;;
DB01905,2-(2-Hydroxy-5-Methoxy-Phenyl)-1h-Benzoimidazole-5-Carboxamidine,;;;;
DB01906,"3-(5-amino-7-hydroxy-(1,2,3)triazolo(4,5-d)pyrimidin-2-yl)benzoic acid",;;;;
DB01908,RU85493,;;;;
DB01909,Alpha-Cyclodextrin (Cyclohexa-Amylose),;;;;
DB01910,Sinefungin,"Sinefungin is a solid. This compound belongs to the purine nucleosides and analogues. These are compounds comprising a purine base attached to a sugar. The proteins that adenosyl-ornithine target include RdmB, modification methylase TaqI, rRNA (adenine-N6-)-methyltransferase, and modification methylase RsrI.;;;;"
DB01911,N-Methylmesoporphyrin,N-methylmesoporphyrin is a solid. This compound belongs to the porphyrins. These are compounds containing a fundamental skeleton of four pyrrole nuclei united through the alpha-positions by four methine groups to form a macrocyclic structure. This medication is known to target ferrochelatase.;;;;
DB01912,"2,2':6',2''-Terpyridine Platinum(Ii)","2,2':6',2''-terpyridine Platinum(Ii) is a solid. Known drug targets of 2,2':6',2''-Terpyridine Platinum(Ii) include truncated transposase and autolysin.;;;;"
DB01914,D-glucose,"Glucose is a simple sugar (monosaccharide) generated during phosynthesis involving water, carbon and sunlight in plants. It is produced in humans via hepatic gluconeogenesis and breakdown of polymeric glucose forms (glycogenolysis). It circulates in human circulation as blood glucose and acts as an essential energy source for many organisms through aerobic or anaerobic respiration and fermentation.[A19399] It is primarily stored as starch in plants and glycogen in animals to be used in various metabolic processes in the cellular level. Its aldohexose stereoisomer, dextrose or D-glucose, is the most commonly occurring isomer of glucose in nature. L-glucose is a synthesized enantiomer that is used as a low-calorie sweetener and laxative.[T28] The unspecified form of glucose is commonly supplied as an injection for nutritional supplementation or metabolic disorders where glucose levels are improperly regulated.[L786] Glucose is listed on the World Health Organization's List of Essential Medicines, the most important medications needed in a basic health system.;;;;"
DB01915,S-Hydroxycysteine,"S-hydroxycysteine is a solid. This compound belongs to the alpha amino acids and derivatives. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon), or a derivative thereof. It targets the proteins subtilisin BPN', glutathione S-transferase A1, glutathione S-transferase p, myelin P2 protein, and complement c3.;;;;"
DB01917,Putrescine,"Putrescine is a toxic diamine formed by putrefaction from the decarboxylation of arginine and ornithine. Putrescine is a solid. This compound belongs to the polyamines. These are compounds containing more than one amine group. Known drug targets of putrescine include putrescine-binding periplasmic protein, ornithine decarboxylase, and S-adenosylmethionine decarboxylase proenzyme. ;;;;"
DB01918,[Methyltelluro]Acetate,[methyltelluro]acetate is a solid. This compound belongs to the organic oxoanionic compounds. These are organic compounds containing an oxoanion. This medication targets the protein monomeric sarcosine oxidase.;;;;
DB01919,Pentanal,Pentanal is a solid. This compound belongs to the polyamines. These are compounds containing more than one amine group. This drug targets the protein cAMP-dependent protein kinase catalytic subunit alpha.;;;;
DB01920,1-O-[O-Nitrophenyl]-Beta-D-Galactopyranose,"Includes ortho-, meta-, and para-nitrophenylgalactosides. [PubChem];;;;"
DB01921,Xylose-derived lactam oxime,;;;;
DB01922,"Maltosyl-Alpha (1,4)-D-Gluconhydroximo-1,5-Lactam",;;;;
DB01923,L-Xylulose 5-Phosphate,;;;;
DB01924,Benzhydroxamic Acid,;;;;
DB01925,"2'-Chloro-Biphenyl-2,3-Diol",;;;;
DB01926,Carboxymycobactin S,;;;;
DB01927,Duroquinone,;;;;
DB01929,"5-Chloryl-2,4,6-quinazolinetriamine",;;;;
DB01930,"2,4-Dihydroxy-3,3-Dimethyl-Butyrate",;;;;
DB01931,"5,7-Dichlorokynurenic acid",;;;;
DB01932,5-Methylpyrrole,;;;;
DB01933,7-Hydroxystaurosporine,;;;;
DB01934,Arylomycin A2,;;;;
DB01935,3-{[(1r)-1-Benzyl-2-Sulfanylethyl]Amino}-3-Oxopropanoic Acid,;;;;
DB01936,alpha-D-arabinofuranose,;;;;
DB01937,Guanosine-2'-monophosphate,;;;;
DB01938,L-Histidine Beta Naphthylamide,;;;;
DB01939,5-Amidino-Benzimidazole,;;;;
DB01940,Balanol Analog 2,;;;;
DB01941,LG-100268,LG-100268 is a retinoid X receptor (RXR) selective compound.;;;;
DB01942,Formic acid,"Formic acid (systematically called methanoic acid) is the simplest carboxylic acid. It is an important intermediate in chemical synthesis and occurs naturally, most famously in the venom of bee and ant stings. It is commonly used as a preservative and antibacterial agent in livestock feed.;;;;"
DB01944,(S)-blebbistatin,;;;;
DB01945,4-Carbamoyl-1-Beta-D-Ribofuranosyl-Imidazolium-5-Olate-5'-Phosphate,;;;;
DB01946,Bisindolylmaleimide VIII,;;;;
DB01947,RU78262,;;;;
DB01948,"1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperidin-4-Yl-3,4-Dihydroquinolin-2(1h)-One",;;;;
DB01949,"2-Amino-N,3,3-Trimethylbutanamide",;;;;
DB01950,AR-AO-14418,;;;;
DB01951,Gpi-1046,;;;;
DB01952,"1,N6-Ethenoadenine",;;;;
DB01953,Inhibitor of P38 Kinase,"Inhibitor of P38 Kinase is a solid. This compound belongs to the indoles. These are compounds containing an indole moiety, which consists of a pyrrole ring fused to benzene to form 2,3-benzopyrrole. This drug is known to target mitogen-activated protein kinase 14.;;;;"
DB01954,Rolipram,A phosphodiesterase inhibitor with antidepressant properties.;;;;
DB01955,"1,4-Butanediol",;;;;
DB01956,Taurine,"Taurine, whose chemical name is 2-aminoethanesulfonic acid, is one of the most abundant amino acids in several organs. It plays important role in essential biological processes.[A31396] This conditional amino acid can be either be manufactured by the body or obtained in the diet mainly by the consumption of fish and meat.[L1058] The supplements containing taurine were FDA approved by 1984 and they are hypertonic injections composed by cristalline amino acids.[FDA label];;;;"
DB01957,3-Chlorophenol,;;;;
DB01958,"5-[4-Tert-Butylphenylsulfanyl]-2,4-Quinazolinediamine",;;;;
DB01959,"3,5-Dimethyl-1-(3-Nitrophenyl)-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",;;;;
DB01960,"7-methyl-7,8-dihydroguanosine-5'-diphosphate",;;;;
DB01961,Cytidine 3'-monophosphate,;;;;
DB01962,Phosphonotyrosine,An amino acid that occurs in endogenous proteins. Tyrosine phosphorylation and dephosphorylation plays a role in cellular signal transduction and possibly in cell growth control and carcinogenesis. [PubChem];;;;
DB01963,Phenylethane Boronic Acid,;;;;
DB01964,AL5424,;;;;
DB01965,"2'-Deoxyuridine 5'-alpha,beta-imido-triphosphate",;;;;
DB01966,Di-Stearoyl-3-Sn-Phosphatidylethanolamine,;;;;
DB01967,"N-{3-[(7ar,12as,12bs)-7-Oxo-1,3,4,6,7,7a,12a,12b-Octahydroindolo[2,3-a]Quinolizin-12(2h)-Yl]Propyl}Propane-2-Sulfonamide",;;;;
DB01968,2-Thioethenamine,;;;;
DB01969,Trifluoroacetonyl coenzyme A,;;;;
DB01970,"Hg9a-9, Nonanoyl-N-Hydroxyethylglucamide",;;;;
DB01971,trans-urocanic acid,;;;;
DB01972,Guanosine-5'-Monophosphate,Guanosine 5&#39;-monophosphate. A guanine nucleotide containing one phosphate group esterified to the sugar moiety and found widely in nature. [PubChem];;;
DB01973,O-Benzylsulfonyl-Serine,;;;;
DB01974,"2-Amino-3-[5-(Amino-Carboxy-Methyl)-2,3-Dihydro-Isoxazol-3-Ylsulfanyl]-Propionic Acid",;;;;
DB01975,AMPCPR,;;;;
DB01976,Aminoanthracene,;;;;
DB01977,6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine,;;;;
DB01978,"7,9-Dimethylguanine",;;;;
DB01979,Methyl alpha-D-mannoside,;;;;
DB01980,Para-Iodo-D-Phenylalanine Hydroxamic Acid,;;;;
DB01981,"3,6-Anhydro-2-(hydrogen sulfate)-alpha-D-galactopyranose",;;;;
DB01982,D-Mannuronic Acid,;;;;
DB01983,2(S)-Amino-6-Boronohexanoic Acid,;;;;
DB01984,(4S)-5-[[(1S)-1-Carboxy-2-cyclohexylethyl]amino]-4-[[(2S)-2-[[(3R)-4-cyclohexyl-2-oxo-3-(phenylmethoxycarbonylamino)butanoyl]amino]-5-(diaminomethylideneamino)pentanoyl]amino]-5-oxopentanoic acid,;;;;
DB01985,N-acetyl-L-arginine,;;;;
DB01986,3-Fluoro-2-Methyl-Aniline,;;;;
DB01987,Cocarboxylase,The coenzyme form of Vitamin B1 present in many animal tissues. It is a required intermediate in the pyruvate dehydrogenase complex and the ketoglutarate dehydrogenase complex.;;;;
DB01988,6((S)-3-Benzylpiperazin-1-Yl)-3-(Naphthalen-2-Yl)-4-(Pyridin-4-Yl)Pyrazine,;;;;
DB01989,Methyl N-{[(1R)-1-({1-[(benzyloxy)carbonyl]-L-prolyl-6-ammonio-L-norleucyl}amino)-2-phenylethyl](hydroxy)phosphoryl}-L-alanyl-L-prolinate,;;;;
DB01990,Cholesterol sulfate,Component of human seminal plasma & spermatozoa.;;;;
DB01991,TU-514,;;;;
DB01992,Coenzyme A,"Coenzyme A (CoA, CoASH, or HSCoA) is a coenzyme, well known for it's role in the synthesis and oxidation of fatty acids, and the oxidation of pyruvate in the citric acid cycle. All genomes sequenced to date encode enzymes that use coenzyme A as a substrate, and around 4% of cellular enzymes use it, or a thioester form of it, as a substrate. It is used as a supplement for the hypothetical treatment of acne.;;;;"
DB01993,N-(5'-Phosphopyridoxyl)-D-Alanine,;;;;
DB01994,"2-(Pyrido[1,2-E]Purin-4-Yl)Amino-Ethanol",;;;;
DB01995,5-methylcytidine 5'-monophosphate,;;;;
DB01996,3-Methylpyridine,;;;;
DB01997,3-Bromo-7-Nitroindazole,;;;;
DB01998,"2-[3,4-Dihydroxy-2-Hydroxymethyl-5-(2-Hydroxy-Nonyl)-Tetrahydro-Furan-2-Yloxy]-6-Hydroxymethyl-Tetra Hydro-Pyran-3,4,5-Triol",;;;;
DB01999,"5,10,15,20-Tetrakis(4-Sulpfonatophenyl)-21h,23h-Porphine",;;;;
DB02001,"5-(4-Morpholin-4-Yl-Phenylsulfanyl)-2,4-Quinazolinediamine",;;;;
DB02002,2-Aminoprop-2-Enamide,;;;;
DB02004,"5-(Aminomethyl)-6-(2,4-Dichlorophenyl)-2-(3,5-Dimethoxyphenyl)Pyrimidin-4-Amine",;;;;
DB02005,2-Oxo-3-Pentenoic Acid,;;;;
DB02006,Br-Coeleneterazine,;;;;
DB02007,alpha-D-glucose 6-phosphate,;;;;
DB02008,1-(2-Fluorobenzyl)-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine,;;;;
DB02009,L-756423,;;;;
DB02010,Staurosporine,An indolocarbazole that is a potent protein kinase C inhibitor which enhances cAMP-mediated responses in human neuroblastoma cells. (Biochem Biophys Res Commun 1995;214(3):1114-20);;;
DB02011,N-(Phosphonoacetyl)-L-Ornithine,;;;;
DB02013,Iron azide hydrate,;;;;
DB02014,"5-(2-Fluoro-5-{(1E)-3-[3-hydroxy-2-(methoxycarbonyl)phenoxy]-1-propen-1-yl}phenyl)-1,2-oxazole-3-carboxylic acid",;;;;
DB02015,Dihydrofolic Acid,;;;;
DB02016,R048-8071,;;;;
DB02017,Imidazole-Derived Cellobiose,;;;;
DB02018,Amido Phenyl Pyruvic Acid,;;;;
DB02019,Acetyl Dithranol,;;;;
DB02020,Alrestatin,;;;;
DB02021,Fidarestat,;;;;
DB02022,4-Amino-5-Hydroxymethyl-2-Methylpyrimidine,;;;;
DB02023,8-oxo-dGMP,;;;;
DB02024,3-phenylpropionic acid,;;;;
DB02025,ACV tripeptide,;;;;
DB02026,"Furo[2,3d]Pyrimidine Antifolate",;;;;
DB02027,N-{(4S)-4-Amino-5-[(2-aminoethyl)amino]pentyl}-N'-nitroguanidine,;;;;
DB02028,"(1R,2R,3S,4R,6S)-3,4,6-Trihydroxy-5-{[(S)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)]",;;;;
DB02029,N-Cyclohexyl-N'-(4-Iodophenyl)Urea,;;;;
DB02030,Alpha-Ribazole-5'-Phosphate,;;;;
DB02031,"(6S)-5,6,7,8-tetrahydrofolic acid",;;;;
DB02032,Epicaptopril,;;;;
DB02033,"N-(3-Cyclopropyl(5,6,7,8,9,10-Hexahydro-2-Oxo-2h-Cycloocta[B]Pyran-3-Yl)Methyl)Phenylbenzensulfonamide",;;;;
DB02034,Tridolgosir,"An indolizidine alkaloid from the plant Swainsona canescens that is a potent alpha-mannosidase inhibitor. Swainsonine also exhibits antimetastatic, antiproliferative, and immunomodulatory activity.;;;;"
DB02035,Hexadecanesulfonyl fluoride,;;;;
DB02036,"2-(3,4-Dihydro-3-Oxo-2h-Benzo[B][1,4]Thiazin-2-Yl)-N-Hydroxyacetamide",;;;;
DB02037,"2,5-Diaminopyrimidin-4,6-diol",;;;;
DB02038,"D-[3-hydroxy-2-methyl-5-phosphonooxymethyl-pyridin-4-ylmethyl]-N,O-cycloserylamide",;;;;
DB02039,S-Acetyl-Cysteine,;;;;
DB02041,Isoluminol,;;;;
DB02042,2-(2-{2-[2-(2-Methoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol,;;;;
DB02043,"1,2-Dipalmitoyl-Phosphatidyl-Glycerole",;;;;
DB02044,N-[3-(aminomethyl)benzyl]acetamidine,;;;;
DB02045,Amylamine,;;;;
DB02046,N-[(Furan-2-Yl)Carbonyl]-(S)-Leucyl-(R)-[1-Amino-2(1h-Indol-3-Yl)Ethyl]-Phosphonic Acid,;;;;
DB02047,(+)-2-(4-biphenyl)propionic acid,;;;;
DB02048,"1,2,4-Triazole-Carboxamidine",;;;;
DB02049,2-{4-[4-(4-Chloro-Phenoxy)-Benzenesulfonyl]-Tetrahydro-Pyran-4-Yl}-N-Hydroxy-Acetamide,;;;;
DB02051,4-Nitrophenyl (3S)-3-({N-[(benzyloxy)carbonyl]-L-phenylalanyl}amino)-5-phenyl-1-pentanesulfonate,;;;;
DB02052,Indirubin-3'-monoxime,;;;;
DB02053,Ribose-5-phosphate,;;;;
DB02054,Gabaculine,;;;;
DB02055,N-Butyl-Benzenesulfonamide,;;;;
DB02056,Prostaglandin D2,"The principal cyclooxygenase metabolite of arachidonic acid. It is released upon activation of mast cells and is also synthesized by alveolar macrophages. Among its many biological actions, the most important are its bronchoconstrictor, platelet-activating-factor-inhibitory, and cytotoxic effects.;;;;"
DB02057,(S)-AMPA,AMPA is a specific agonist for the AMPA receptor.;;;;
DB02058,3-[4-(1-formylpiperazin-4-yl)-benzylidenyl]-2-indolinone,;;;;
DB02059,Adenosine-5-Diphosphoribose,;;;;
DB02060,Cyclohexanone,"Cyclohexanone (also known as oxocyclohexane, pimelic ketone, ketohexamethylene, cyclohexyl ketone or ketocyclohexane) is a six-carbon cyclic molecule with a ketone functional group. It is a colorless, oily liquid with an acetone-like smell.;;;;"
DB02061,Cellobiose,A disaccharide consisting of two glucose units in beta (1-4) glycosidic linkage. Obtained from the partial hydrolysis of cellulose. [PubChem];;;;
DB02062,"N-[3-[(1-Aminoethyl)(Hydroxy)Phosphoryl]-2-(1,1'-Biphenyl-4-Ylmethyl)Propanoyl]Alanine",;;;;
DB02063,CRA_16847,;;;;
DB02065,4-Deoxylactose,;;;;
DB02066,N7-Methyl-Formycin A,;;;;
DB02067,Triglu-5-formyl-tetrahydrofolate,;;;;
DB02068,Delta-Amino Valeric Acid,;;;;
DB02069,N-(2-Flouro-Benzyl)-4-Sulfamoyl-Benzamide,;;;;
DB02070,Kynurenine,;;;;
DB02071,WAY-151693,;;;;
DB02072,"2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Thiopyran-3-Carboxylic Acid",;;;;
DB02073,Biliverdine IX Alpha,;;;;
DB02074,Butenoic Acid,;;;;
DB02075,"[(2R,3R,4S,5S)-3,4-Dihydroxy-5-(4-oxo-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)-2-pyrrolidinyl]methyl dihydrogen phosphate",;;;;
DB02076,6-phospho-D-gluconic acid,;;;;
DB02077,L-N(omega)-nitroarginine-(4R)-amino-L-proline amide,;;;;
DB02078,Triglyme,Triethylene glycol dimethyl ether (also called triglyme) is a glycol ether used as a solvent.;;;;
DB02079,Aminooxyacetic acid,"A compound that inhibits aminobutyrate aminotransferase activity in vivo, thereby raising the level of gamma-aminobutyric acid in tissues. [PubChem];;;;"
DB02080,"1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene",;;;;
DB02081,Bis-Benzamidine,;;;;
DB02082,Phosphoaminophosphonic acid guanylate ester,"A non-hydrolyzable analog of GTP, in which the oxygen atom bridging the beta to the gamma phosphate is replaced by a nitrogen atom. It binds tightly to G-protein in the presence of Mg2+. The nucleotide is a potent stimulator of adenylate cyclase.;;;;"
DB02083,"N,N-dimethylglycine",;;;;
DB02084,CRA_17312,;;;;
DB02085,1-Aminocyclopropanecarboxylic Acid,;;;;
DB02086,"(3,4-Dihydroxy-Phenyl)-Triphenyl-Arsonium",;;;;
DB02087,"3,5-Difluorobenzenesulfonamide",;;;;
DB02088,Norleucine Phosphonate,;;;;
DB02089,CP-526423,;;;;
DB02090,A Disubstituted Succinyl Caprolactam Hydroxymate Mmp3inhibitor,;;;;
DB02091,"4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamine",;;;;
DB02092,Cholesteryl Linoleate,;;;;
DB02093,5-phospho-D-arabinohydroxamic acid,;;;;
DB02094,N-2-Thiophen-2-Yl-Acetamide Boronic Acid,;;;;
DB02095,Isatin,Isatin is an indole derivative first obtained by Erdman and Laurent in 1841 as an oxidation product of Indigo dye with nitric acid and chromic acids. The compound is found in many plants and Schiff bases of Isatin are have been investigated for pharmaceutical applications.;;;;
DB02096,FR221647,;;;;
DB02097,Cytidine,;;;;
DB02098,Adenosine-2'-5'-Diphosphate,;;;;
DB02099,S-azabisabolene,;;;;
DB02100,Methyl alpha-galactoside,;;;;
DB02101,"(S,R)-fidarestat",;;;;
DB02102,Mozenavir,;;;;
DB02103,2-Chlorodideoxyadenosine,;;;;
DB02104,"2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine",;;;;
DB02105,"3,5-Dinitrocatechol",;;;;
DB02106,"[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid",;;;;
DB02107,Leucine - Reduced Carbonyl,;;;;
DB02108,2-Aminoethanimidic Acid,;;;;
DB02109,Hadacidin,;;;;
DB02110,Protoporphyrin Ix Containing Co,;;;;
DB02111,3-hydroxyisoxazole-4-carboxylic acid,;;;;
DB02112,Zk-806450,;;;;
DB02113,6-Methylpurine,;;;;
DB02114,Cumidine,;;;;
DB02115,Daidzin,;;;;
DB02116,Olomoucine,;;;;
DB02118,CP-271485,;;;;
DB02119,"6-Hydroxymethyl-7,8-Dihydropterin",;;;;
DB02120,"6-Amino-4-Hydroxymethyl-Cyclohex-4-Ene-1,2,3-Triol",;;;;
DB02121,Butyramide,;;;;
DB02122,4-iodo-acetamido phenylboronic acid,;;;;
